Date,User,Tweet,sentiment
2023-04-16 21:29:03+00:00,C4TVELVET,new account need ca mutual help rt like thank cyber,positive
2023-04-16 21:09:44+00:00,MsTigest,someth wrong w food suspect purpos adult evil know better make distributor food keep offer feel evil told stop stop california strict ca calif,positive
2023-04-16 18:24:40+00:00,SyedAbdulQadoo1,pass acca paper without studi acca ca,negative
2023-04-16 13:26:00+00:00,MsTigest,harass robber phish california mexico new mexico chihuahua territori easter america celebr easter celebr chihuahua mexican stop delusion behavior ca ms tigest,positive
2023-04-16 13:18:10+00:00,MsTigest,even pay hire random random twitter random white hous clearli random use illeg chemic nearbi trash persian ali asian white peopl nice ca sunday cali,negative
2023-04-16 11:48:21+00:00,MsTigest,see hispan femal steal ident white femal steal restaur job white male lie everi day random white hispan steal outfit ident stay twitter stalker hispan stalker ca,neutral
2023-04-16 11:08:09+00:00,MsTigest,dream medit evil male trash threw work away began pour liquid water illeg pictur evil black american male stalk evil stalk twitter ig second resid ca ms tigest,positive
2023-04-16 10:50:22+00:00,MsTigest,crime possibl intrud stalker hacker crime malici neighbor malici landlord malici poison chemic build area lo angel action document call lawyer ask question past call east coast report made ca earli c,neutral
2023-04-16 10:46:13+00:00,MsTigest,pictur fade someon hack someon steal steal pictur word someth mine peopl stalk other pleas stop stop lie someth wrong everyth ca calif c ms tigest,negative
2023-04-16 09:12:40+00:00,MsTigest,tribe evil black male attack let near name jame thoma get nightmar attack assault sexual harass hurt leg restrain order pleas stop sick ca upset,negative
2023-04-15 23:54:05+00:00,Botched_Again,ca state sponsor terror result mom amp pop landlord file evict tenant proof need req tenant get free legal aid amp w consequ state paid attorney ask juri amp make frivol argument end make mom amp pop quit save drain,positive
2023-04-15 23:01:12+00:00,hsb_me,california nba hoop nba fambam repres let sound boy ca time,positive
2023-04-15 20:14:34+00:00,MsTigest,take trash evil witch take trash ever harass use illeg campaign got name card titl ever attack ms tigest mpa vs shakira fraud ms tigest mpa vs sandra heib ms tigest mpa vs hispan ca,neutral
2023-04-15 19:31:25+00:00,prashan58573419,bro ca degre combin dark circl failur bounc back anxieti hair fall castud ca pass result,positive
2023-04-15 19:09:51+00:00,MsTigest,femal state want food everi day everi year studi scienc educ insult everyday femal everi day consist interrupt said disrespect idk ca cali ms tigest,negative
2023-04-15 18:38:58+00:00,MsTigest,see realli evil femal hurt potenti marriag children evil idea evil femal evil eye lo angel femal see evil nasti ca ms tigest,positive
